"";"2021-01-22"
"845";"B11549"
"846";"B11686"
"847";"B10016"
"848";"B10073"
"849";"B10122"
"850";"B10555"
"851";"A50216"
"852";"A50221"
"853";"C50172"
"854";"A72158"
"855";"A29011"
"856";"A29030"
"857";"A29115"
"858";"B42524"
"859";"A48054"
"860";"A48113"
"861";"A48122"
"862";"A48142"
"863";"A48153"
"864";"A48169"
"865";"D53674"
"866";"B27013"
"867";"B27027"
"868";"B27094"
"869";"B27098"
"870";"B27131"
"871";"D86122"
"872";"D86701"
"873";"D86716"
"874";"B28511"
"875";"B28576"
"876";"B28584"
"877";"B51535"
"878";"B51611"
"879";"B25504"
"880";"B25608"
"881";"A71593"
"882";"D17176"
"883";"D17191"
"884";"D87760"
"885";"D87856"
"886";"B32610"
"887";"B32722"
"888";"B32821"
"889";"B32840"
"890";"D12108"
"891";"D12110"
"892";"B31029"
"893";"A41170"
"894";"A41177"
"895";"A41193"
"896";"A41196"
"897";"A41239"
"898";"C41080"
"899";"C41354"
"900";"C13006"
"901";"C13026"
"902";"C47476"
"903";"C47515"
"904";"C47613"
"905";"C47619"
"906";"C47726"
"907";"C47729"
"908";"D13062"
"909";"D13177"
"910";"D13218"
"911";"D13224"
"912";"D13263"
"913";"D13284"
"914";"D13291"
"915";"D13320"
"916";"B11553"
"917";"B11636"
"918";"B11676"
"919";"B71083"
"920";"B10017"
"921";"B10022"
"922";"B10060"
"923";"B10141"
"924";"A50219"
"925";"A29019"
"926";"A29035"
"927";"A29050"
"928";"A29180"
"929";"B42505"
"930";"B42668"
"931";"A48090"
"932";"D53560"
"933";"D53635"
"934";"D53679"
"935";"D53682"
"936";"A63531"
"937";"A63537"
"938";"B27020"
"939";"B27133"
"940";"D86258"
"941";"B28518"
"942";"B25505"
"943";"A71565"
"944";"A71576"
"945";"D87872"
"946";"B32529"
"947";"B32606"
"948";"B32705"
"949";"B32780"
"950";"B32795"
"951";"B32808"
"952";"B32827"
"953";"D12162"
"954";"B44642"
"955";"B44691"
"956";"C44520"
"957";"C44669"
"958";"B31082"
"959";"A41095"
"960";"A41462"
"961";"C41386"
"962";"C41395"
"963";"C30045"
"964";"C30141"
"965";"C30342"
"966";"C47545"
"967";"C47575"
"968";"C47611"
"969";"C47755"
"970";"D13028"
"971";"D13167"
"972";"D13244"
"973";"D13286"
"974";"D13289"
"975";"D13314"
"976";"D13358"
"977";"B11540"
"978";"B11581"
"979";"B10034"
"980";"A50024"
"981";"C50014"
"982";"C50120"
"983";"A72096"
"984";"A72152"
"985";"A29138"
"986";"C42502"
"987";"A48088"
"988";"A48097"
"989";"D53559"
"990";"D53677"
"991";"B63076"
"992";"B27061"
"993";"B27107"
"994";"B27155"
"995";"C27035"
"996";"D86145"
"997";"D86158"
"998";"D86761"
"999";"D86778"
"1000";"B28550"
"1001";"B51532"
"1002";"B25546"
"1003";"A71533"
"1004";"A71535"
"1005";"D17119"
"1006";"D17180"
"1007";"D87833"
"1008";"D87870"
"1009";"D87877"
"1010";"B32653"
"1011";"B32673"
"1012";"B32817"
"1013";"B32841"
"1014";"D12105"
"1015";"B31080"
"1016";"B31164"
"1017";"A41146"
"1018";"A41159"
"1019";"A41307"
"1020";"A41328"
"1021";"C41400"
"1022";"C41409"
"1023";"C13077"
"1024";"C30108"
"1025";"C30217"
"1026";"C30305"
"1027";"C30356"
"1028";"C47489"
"1029";"C47512"
"1030";"C47519"
"1031";"C47532"
"1032";"C47795"
"1033";"D13086"
"1034";"D13126"
"1035";"D13163"
"1036";"D13330"
"1037";"B11514"
"1038";"B11591"
"1039";"B11598"
"1040";"B11626"
"1041";"B11650"
"1042";"B11704"
"1043";"B71082"
"1044";"B10053"
"1045";"B10110"
"1046";"B10139"
"1047";"B10503"
"1048";"A50004"
"1049";"C50175"
"1050";"A72106"
"1051";"A29098"
"1052";"A48001"
"1053";"A48140"
"1054";"A48151"
"1055";"A48175"
"1056";"A63539"
"1057";"B63087"
"1058";"B27016"
"1059";"B27040"
"1060";"B27132"
"1061";"B27140"
"1062";"C27078"
"1063";"C27193"
"1064";"D86029"
"1065";"D86274"
"1066";"D86330"
"1067";"D86401"
"1068";"D86747"
"1069";"D86788"
"1070";"B28526"
"1071";"B28594"
"1072";"B58155"
"1073";"B25506"
"1074";"B25607"
"1075";"A71517"
"1076";"A71563"
"1077";"D87832"
"1078";"D87835"
"1079";"B32512"
"1080";"B32518"
"1081";"B32524"
"1082";"B32525"
"1083";"B32587"
"1084";"B32672"
"1085";"B32731"
"1086";"B32739"
"1087";"B32743"
"1088";"D12167"
"1089";"B44688"
"1090";"B31087"
"1091";"B31156"
"1092";"A41009"
"1093";"A41042"
"1094";"A41082"
"1095";"A41131"
"1096";"A41140"
"1097";"A41163"
"1098";"A41351"
"1099";"C41102"
"1100";"C41234"
"1101";"C41373"
"1102";"C41387"
"1103";"C41397"
"1104";"C13075"
"1105";"C30205"
"1106";"C30218"
"1107";"C30336"
"1108";"C47517"
"1109";"C47549"
"1110";"C47567"
"1111";"C47665"
"1112";"C47783"
"1113";"C47832"
"1114";"D13057"
"1115";"D13095"
"1116";"D13183"
"1117";"D13257"
"1118";"D13362"
"1119";"B71011"
"1120";"B71049"
"1121";"B10023"
"1122";"B10112"
"1123";"B10143"
"1124";"B10192"
"1125";"B10537"
"1126";"A50036"
"1127";"C50092"
"1128";"A72150"
"1129";"A72178"
"1130";"A29081"
"1131";"A29100"
"1132";"B42634"
"1133";"C42557"
"1134";"A48065"
"1135";"A48089"
"1136";"A48116"
"1137";"A48176"
"1138";"A48178"
"1139";"D53601"
"1140";"D53926"
"1141";"B63052"
"1142";"B27050"
"1143";"D86077"
"1144";"D86772"
"1145";"D86793"
"1146";"B58049"
"1147";"B58055"
"1148";"B58056"
"1149";"B58070"
"1150";"B51563"
"1151";"B51648"
"1152";"B51651"
"1153";"C51525"
"1154";"C51576"
"1155";"C51584"
"1156";"C51588"
"1157";"B25537"
"1158";"A71578"
"1159";"D17148"
"1160";"D87780"
"1161";"B32711"
"1162";"B32736"
"1163";"B32809"
"1164";"B32839"
"1165";"D12113"
"1166";"D12159"
"1167";"D12161"
"1168";"B44677"
"1169";"C44511"
"1170";"B31157"
"1171";"A41011"
"1172";"A41043"
"1173";"A41233"
"1174";"A41248"
"1175";"A41254"
"1176";"A41301"
"1177";"A41369"
"1178";"C41352"
"1179";"C13058"
"1180";"C30009"
"1181";"C30186"
"1182";"C30327"
"1183";"C47502"
"1184";"C47547"
"1185";"C47595"
"1186";"C47710"
"1187";"C47826"
"1188";"C47896"
"1189";"D13114"
"1190";"D13151"
"1191";"D13156"
"1192";"D13165"
"1193";"D13223"
"1194";"D13308"
"1195";"D13324"
"1196";"D13340"
"1197";"A27682"
"1198";"B71022"
"1199";"B10066"
"1200";"B10118"
"1201";"B10151"
"1202";"B10543"
"1203";"B10552"
"1204";"A50006"
"1205";"A50040"
"1206";"A72159"
"1207";"A29010"
"1208";"A29025"
"1209";"A29095"
"1210";"A29174"
"1211";"A29188"
"1212";"B42561"
"1213";"B42636"
"1214";"A48029"
"1215";"A48058"
"1216";"A48111"
"1217";"A63506"
"1218";"B63039"
"1219";"B27162"
"1220";"B27182"
"1221";"C27198"
"1222";"D86136"
"1223";"D86225"
"1224";"D86746"
"1225";"D86797"
"1226";"B28530"
"1227";"B58016"
"1228";"B58166"
"1229";"B51537"
"1230";"B51548"
"1231";"B25547"
"1232";"B25613"
"1233";"D17013"
"1234";"D17162"
"1235";"D87752"
"1236";"D87884"
"1237";"B32668"
"1238";"B32680"
"1239";"B32698"
"1240";"B32740"
"1241";"B32829"
"1242";"D12121"
"1243";"B44519"
"1244";"B44548"
"1245";"B44581"
"1246";"B44590"
"1247";"B44672"
"1248";"B31007"
"1249";"B31033"
"1250";"B31095"
"1251";"B31151"
"1252";"A41087"
"1253";"A41133"
"1254";"A41136"
"1255";"A41158"
"1256";"A41164"
